"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
75.00,"ND","QUAT","HOLO","ND","ND","ND","ND","ND","ND","ND","ND"
75.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
75.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
76.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
77.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
78.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
79.00,"Estrato F","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
79.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
79.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
80.00,"ND","ND","PLIO","ND","ND","ND","ND","ND","ND","ND","ND"
80.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
81.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
82.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
82.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
83.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
84.00,"ND","ND","PLPL","ND","ND","ND","ND","ND","ND","ND","ND"
84.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
84.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
85.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
86.00,"ND","?QUA","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
