"IDLOCALIDA","NOMBRE_ALTERNATIVO"
783.00,"ND"
784.00,"ND"
785.00,"ND"
786.00,"ND"
787.00,"ND"
789.00,"ND"
795.00,"ND"
796.00,"ND"
797.00,"cerca de Tepexpan"
798.00,"ND"
799.00,"ND"
800.00,"ND"
801.00,"ND"
803.00,"ND"
804.00,"ND"
805.00,"ND"
806.00,"ND"
808.00,"ND"
809.00,"ND"
810.00,"ND"
811.00,"ND"
813.00,"ND"
814.00,"ND"
815.00,"ND"
822.00,"Chekta-leh cave"
823.00,"Sayab Cave"
825.00,"ND"
827.00,"ND"
828.00,"Oxkintok Cave"
829.00,"Actun Ix-kix"
830.00,"ND"
831.00,"ND"
832.00,"ND"
835.00,"ND"
839.00,"ND"
840.00,"ND"
842.00,"ND"
843.00,"ND"
850.00,"ND"
851.00,"ND"
852.00,"Cueva de las Calaveras"
854.00,"ND"
855.00,"ND"
856.00,"ND"
857.00,"ND"
858.00,"ND"
860.00,"ND"
861.00,"ND"
863.00,"ND"
864.00,"ND"
868.00,"ND"
869.00,"ND"
872.00,"Covered Cave"
872.00,"Xmak cave"
875.00,"Chumul cave"
876.00,"Sabaka Cave"
877.00,"Tiplamas cave"
879.00,"ND"
880.00,"ND"
881.00,"ND"
882.00,"ND"
883.00,"ND"
884.00,"ND"
885.00,"ND"
886.00,"ND"
888.00,"ND"
889.00,"ND"
890.00,"ND"
891.00,"ND"
892.00,"ND"
893.00,"ND"
894.00,"ND"
895.00,"ND"
897.00,"ND"
900.00,"ND"
901.00,"ND"
906.00,"ND"
907.00,"Coxcatlan Cave (zones XXV-XXVIII)"
907.00,"Tehuacan Valley"
908.00,"ND"
909.00,"ND"
910.00,"ND"
911.00,"ND"
912.00,"ND"
914.00,"ND"
918.00,"ND"
919.00,"ND"
920.00,"ND"
921.00,"ND"
922.00,"ND"
923.00,"ND"
