"IDPUBLICACION","ORDEN_EN_CITA","IDAUTORPUB","APELLIDO_PATERNO","APELLIDO_MATERNO","NOMBRE","ABREVIADO"
217.00,1.00,112.00,"Haynes","ND","Gary","ND"
218.00,1.00,113.00,"Kitchens","ND","Julie A.","ND"
219.00,1.00,114.00,"Heizer","ND","Robert F.","ND"
219.00,2.00,115.00,"Cook","ND","Sherburne F.","ND"
220.00,1.00,116.00,"Hesse","ND","Curtis J.","ND"
221.00,1.00,248.00,"Hibbard","ND","Claude W.","ND"
221.00,2.00,217.00,"Mooser","ND","Oswaldo","ND"
222.00,1.00,248.00,"Hibbard","ND","Claude W.","ND"
222.00,2.00,117.00,"Villa","R.","Bernardo","ND"
223.00,1.00,248.00,"Hibbard","ND","Claude W.","ND"
223.00,2.00,24.00,"Ray","ND","Clayton E.","ND"
223.00,3.00,176.00,"Savage","ND","D. E.","ND"
223.00,4.00,119.00,"Taylor","ND","D. W.","ND"
223.00,5.00,106.00,"Guilday","ND","J. E.","ND"
224.00,1.00,121.00,"Jefferson","ND","George T.","ND"
225.00,1.00,122.00,"Hudson","ND","Jean","ND"
225.00,2.00,123.00,"Phillip","ND","Walker L.","ND"
225.00,3.00,124.00,"Voorhies","ND","Barbara","ND"
226.00,1.00,125.00,"Kasper","ND","Stephen","ND"
227.00,1.00,126.00,"Kirkby","ND","Michael J.","ND"
227.00,2.00,127.00,"White","ND","Anne V.","ND"
227.00,3.00,95.00,"Flannery","ND","Kent V.","ND"
228.00,1.00,228.00,"Kurtén","ND","Björn","ND"
229.00,1.00,228.00,"Kurtén","ND","Björn","ND"
230.00,1.00,228.00,"Kurtén","ND","Björn","ND"
231.00,1.00,128.00,"Le Tourneau","ND","Phil","ND"
232.00,1.00,379.00,"Lorenzo","ND","José Luis","ND"
232.00,2.00,380.00,"Mirambell","ND","Lorena","ND"
233.00,1.00,129.00,"Laurito","Mora","César Alberto","ND"
234.00,1.00,130.00,"Lawler","ND","Howard","ND"
234.00,2.00,183.00,"Van Devender","ND","Tom","ND"
235.00,1.00,132.00,"Lundelius","ND","Ernest L., Jr.","ND"
236.00,1.00,133.00,"Mac Donald","ND","J. R.","ND"
237.00,1.00,134.00,"McDonald","ND","Jerry N.","ND"
238.00,1.00,132.00,"Lundelius","ND","Ernest L.","ND"
239.00,1.00,136.00,"Maglio","ND","Vicent J.","ND"
240.00,1.00,137.00,"Maldonado","Cárdenas","Rubén","ND"
241.00,1.00,138.00,"Marrinan","ND","Rochelle A.","ND"
242.00,1.00,139.00,"Martin","ND","Paul S.","ND"
243.00,1.00,139.00,"Martin","ND","Paul S.","ND"
243.00,2.00,106.00,"Guilday","ND","John E.","ND"
244.00,1.00,140.00,"Martin","ND","Robert A.","ND"
245.00,1.00,140.00,"Martin","ND","Robert A.","ND"
246.00,1.00,140.00,"Martin","ND","Robert A.","ND"
247.00,1.00,140.00,"Martin","ND","Robert A.","ND"
247.00,2.00,141.00,"Webb","ND","S. David","ND"
248.00,1.00,142.00,"Miller","ND","Wade E.","ND"
249.00,1.00,142.00,"Miller","ND","Wade E.","ND"
250.00,1.00,446.00,"Müellerried","ND","Federico K. G.","ND"
251.00,1.00,341.00,"Falconer","ND","H.","ND"
252.00,1.00,144.00,"Niederberger","ND","Christine","ND"
253.00,1.00,145.00,"Koopman","ND","Karl F.","ND"
253.00,2.00,139.00,"Martin","ND","P. S.","ND"
254.00,1.00,318.00,"Maldonado","Koerdell","Manuel","ND"
255.00,1.00,132.00,"Lundelius","ND","Ernest L., Jr.","ND"
256.00,1.00,235.00,"Osborn","ND","H. F.","ND"
257.00,1.00,234.00,"Alvarez","S.","Ticul","ND"
258.00,1.00,142.00,"Miller","ND","Wade E.","ND"
259.00,1.00,407.00,"Santamaría","ND","Diana","ND"
259.00,2.00,418.00,"García-","Barcena","Joaquín","ND"
260.00,1.00,380.00,"Mirambell","ND","Lorena","ND"
261.00,1.00,215.00,"Mones","ND","Alvaro","ND"
262.00,1.00,215.00,"Mones","ND","Alvaro","ND"
263.00,1.00,215.00,"Mones","ND","Alvaro","ND"
264.00,1.00,149.00,"Neely","ND","James A.","ND"
264.00,2.00,150.00,"Caran","ND","S. Christopher","ND"
264.00,3.00,151.00,"Winsborough","ND","Barbara M.","ND"
264.00,4.00,152.00,"Ramirez","Sorensen","Francisca","ND"
264.00,5.00,153.00,"Valastro","ND","Salvatore, Jr.","ND"
265.00,1.00,154.00,"Nowak","ND","Ronald M.","ND"
266.00,1.00,155.00,"Ochoterena","ND","F. H.","ND"
266.00,2.00,29.00,"Silva-","Bárcenas","Angel","ND"
267.00,1.00,295.00,"Ocaña","ND","Aurelio","ND"
267.00,2.00,241.00,"Polaco","R.","Oscar J.","ND"
268.00,1.00,235.00,"Osborn","ND","Henry Fairfield","ND"
269.00,1.00,320.00,"Gidley","ND","J. W.","ND"
270.00,1.00,299.00,"Ralph","ND","Ronald W.","ND"
